nct,http_status,n_armgroups,sha256,from_cache
NCT02278120,200,2,c697ad7d24bbc5d5,False
NCT02282020,200,2,e39f1b3643efbd7f,False
NCT02285062,200,2,13b0d3424edb1ee0,False
NCT02288247,200,2,381c8cc56aa3f562,False
NCT02296125,200,2,fe044ae26fa09678,False
NCT02297438,200,2,c13420475f16b13a,False
NCT02301156,200,2,830762a722ee0d25,False
NCT02302807,200,2,707819f15707a64b,False
NCT02306161,200,2,ac226351592c2247,False
NCT02312258,200,2,525ae049154c18cc,False
NCT02322593,200,2,2229e709c7a2176c,False
NCT02329860,200,2,0e74f7d4f0f70b44,False
NCT02340221,200,2,ea7f66f9a7db62ca,False
NCT02345850,200,3,b2615c1bfbab8a03,False
NCT02348489,200,2,bb4fbd963568a016,False
NCT02349412,200,2,35b215871a96b84c,False
NCT02352948,200,6,fd4b39ea96b6cdde,False
NCT02358031,200,3,e9e9e32ec138288e,False
NCT02360215,200,2,79524587bb3d090f,False
NCT02362594,200,2,8c1e44c0b470dc4d,False
NCT02364999,200,2,2dc754a36295783a,False
NCT02366143,200,3,669a7eb44a0cf6e9,False
NCT02367040,200,2,8f0aa61319c5cd96,False
NCT02367781,200,2,cae000ba92cd280c,False
NCT02367794,200,3,d6ee0f55b7dcb227,False
NCT02369653,200,2,268ef5c83c331855,False
NCT02369874,200,3,8810a11724e51704,False
NCT02370498,200,2,f1afd9173319996c,False
NCT02383966,200,2,7be5da84aa8397e3,False
NCT02388906,200,2,f9fed2a517000094,False
NCT02393859,200,2,37337173c860341e,False
NCT02394795,200,2,b252ce1876c6635d,False
NCT02395016,200,2,64bb3e6990f92ea5,False
NCT02395172,200,2,d49d97078aef4777,False
NCT02409342,200,2,bfc2598b57c51da8,False
NCT02411448,200,3,3c498c6fe01df415,False
NCT02412878,200,2,2b99f594ad540576,False
NCT02420821,200,2,06244c178e1f486d,False
NCT02421939,200,2,3b86bad4489250c6,False
NCT02422615,200,2,d2255947344d59ad,False
NCT02425891,200,2,c95cd599a03056e8,False
NCT02426125,200,2,1a2785b95fa91570,False
NCT02429427,200,2,8b834edafa1f52b7,False
NCT02435433,200,5,b5eedb2d3a9b2095,False
NCT02436668,200,2,5123964772bfc636,False
NCT02437318,200,2,72ff6a06947ebd28,False
NCT02445391,200,3,d82af93e8e288610,False
NCT02446600,200,3,7afd5a93a1230d20,False
NCT02448381,200,2,501d302bbe81fd30,False
NCT02450331,200,2,5dd518bdc1523956,False
NCT02451943,200,2,8964143c6dea99fd,False
NCT02453282,200,3,2c2dbc390a8f37a1,False
NCT02454933,200,2,490002525b370527,False
NCT02472964,200,2,4544f460c1fb845b,False
NCT02475681,200,3,32defd881fc5c657,False
NCT02489318,200,2,42b6303d1de1c974,False
NCT02492711,200,3,025d1e4f165723bc,False
NCT02494583,200,3,4cb679a585cdb1c1,False
NCT02500043,200,2,09f30099005fe7fe,False
NCT02504372,200,2,e200175524082c12,False
NCT02511106,200,2,e3c7b25cacd49d88,False
NCT02513394,200,2,d6506480346da059,False
NCT02516241,200,3,02d4ffb50572552c,False
NCT02518191,200,2,db882cb91ff09039,False
NCT02538666,200,3,d89a98e9ec18bdb9,False
NCT02545504,200,2,533c671c807aed17,False
NCT02555657,200,2,83be5dccc4526936,False
NCT02555878,200,2,c5ba259c30ad614e,False
NCT02563002,200,2,89dfb1af2b41e3fb,False
NCT02564263,200,2,f09a65e88b2ce9a0,False
NCT02569242,200,2,663356c891cc0f52,False
NCT02574455,200,2,54caf62a08d63e20,False
NCT02576509,200,2,8378aa84677991c1,False
NCT02576574,200,3,23f5eab4371f48a3,False
NCT02576977,200,2,b21739a6fad97e65,False
NCT02578680,200,2,323e5621e1ce4cf2,False
NCT02579863,200,2,753be4f5894eadbf,False
NCT02580058,200,3,15456a7ccdbbf30e,False
NCT02586025,200,2,fc59c79c379c4a2b,False
NCT02588261,200,2,f2b28311fb24bd85,False
NCT02603432,200,2,0ffba57587be73d5,False
NCT02604342,200,2,3d012c65c6c1aa77,False
NCT02611960,200,2,4b3cb53648d25d28,False
NCT02613507,200,2,012f7cef5cb5811c,False
NCT02617589,200,2,40edf4a93d0c4179,False
NCT02625610,200,2,f2723851e6fa0181,False
NCT02625623,200,2,b40e645a1a8c83f2,False
NCT02627963,200,2,a0de6af7349ac12f,False
NCT02631876,200,2,8c9a634ab41ba9ec,False
NCT02632409,200,2,42f396e126ead723,False
NCT02654587,200,2,487b366db684826b,False
NCT02655016,200,2,fa8531781ed003f4,False
NCT02663908,200,2,a10e36238fa7da7f,False
NCT02667587,200,2,b1643359ff30c27e,False
NCT02668653,200,2,ddfa3cdef5f3477a,False
NCT02677896,200,3,d27b1767a629f858,False
NCT02703272,200,2,b086531d2597f564,False
NCT02714218,200,3,b040045959b4f527,False
NCT02718417,200,3,64231dafb1c8705a,False
NCT02726581,200,3,250261d8fedff869,False
NCT02737501,200,3,7d0a5145e06b7da2,False
NCT02741570,200,2,7ca47d65755a0cec,False
NCT02743494,200,2,5ad73f34846e9b08,False
NCT02747043,200,2,e607d343d0ce3fe4,False
NCT02752074,200,2,f56d7625fa90cf3d,False
NCT02753127,200,2,861bd164976ccdb0,False
NCT02755597,200,2,75906da363b97ea1,False
NCT02763579,200,2,ada56dac837e6a06,False
NCT02775435,200,2,ca9effe5d30a0e48,False
NCT02785952,200,2,55a853b2db22be87,False
NCT02788279,200,3,0a2f0785732ccc43,False
NCT02799602,200,2,98afdbb749cf7795,False
NCT02807636,200,3,869ccec2f2e463b5,False
NCT02810457,200,2,b791d0c47bf6893c,False
NCT02811861,200,3,872ed97dba9bd3b5,False
NCT02819518,200,5,ab652ddf53968cb1,False
NCT02853305,200,3,418c1b2354ed0c90,False
NCT02853331,200,2,a3bf6576ba78eecd,False
NCT02855944,200,2,82f464426671e0ac,False
NCT02864251,200,3,667b0cc31b82c6b8,False
NCT02864394,200,2,877d813cf236ccfe,False
NCT02872103,200,2,569fcc0d19740f2c,False
NCT02872116,200,5,21332362592a264b,False
NCT02883049,200,8,d5ce0075005b69fa,False
NCT02896855,200,2,ac70fc9dfdeba3d3,False
NCT02899299,200,2,76464d096b9195f1,False
NCT02908672,200,2,56c90793fe5356be,False
NCT02915744,200,2,efabbae1c0a23124,False
NCT02920008,200,2,3921fc6523ebb6d6,False
NCT02923921,200,2,8a5967b4a8a6a9ed,False
NCT02927249,200,2,0432b4f93c4305a5,False
NCT02928224,200,3,a03d1430303c7bc0,False
NCT02952586,200,2,2f5aec1d34196eca,False
NCT02954172,200,2,c307fda245a36de3,False
NCT02967692,200,4,7b64ac21a0ead433,False
NCT02970318,200,2,39222e85aba504fa,False
NCT02975934,200,2,6cb55da3411a680d,False
NCT02987543,200,2,a54981e2468a40ed,False
NCT02989857,200,3,21bb9ff3ae99d475,False
NCT02990338,200,2,48dc78756f5db56f,False
NCT02993523,200,3,a04e8d8c2ce437a9,False
NCT02993731,200,2,119837d80d1db36a,False
NCT02998528,200,3,6557c38ebb9bbbdc,False
NCT03016312,200,2,4160d3315317ead8,False
NCT03024996,200,2,7827dd7886b107a6,False
NCT03038100,200,2,e47625cbc19de388,False
NCT03040999,200,2,5d75f13b481f7e79,False
NCT03043872,200,3,c8450b21ce13d462,False
NCT03052608,200,2,42a302d34404b76a,False
NCT03053440,200,2,e67887d890b70f0e,False
NCT03055013,200,2,d5dc7f996b304049,False
NCT03062358,200,2,e919defec5ee91f1,False
NCT03068455,200,2,43ad99b36f9525d4,False
NCT03072238,200,2,0b71ed42eeb362d2,False
NCT03085095,200,2,4ce0f53e04b2ac5e,False
NCT03088813,200,4,458a1791e1764be9,False
NCT03091192,200,2,91ee58e62c24b836,False
